time,total_gpu_num,idle_gpu_num,pending_gpu_num,running_gpujob_num,pending_gpujob_num,pending_job_num_less_8,total_node_num,consolidate_node_num,shared_node_num,sm_util,gmem_util,sm_util_active,gmem_util_active,gpu_utilization
13219200.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219260.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219320.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219380.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219440.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219500.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219560.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219620.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219680.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219740.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219800.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219860.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219920.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13219980.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220040.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220100.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220160.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220220.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220280.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220340.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220400.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220460.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220520.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220580.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220640.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220700.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220760.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220820.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220880.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
13220940.0,40,40,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0
